일시,지점,일최저체감온도(°C),일최고기온(°C),일평균기온(°C),일최저기온(°C),일평균상대습도(%),일평균풍속(m/s),일최대풍속(m/s),한파특보(O/X),한파영향예보(단계),동파가능지수(03h)(단계),동파가능지수(06h)(단계),동파가능지수(09h)(단계),동파가능지수(12h)(단계),동파가능지수(15h)(단계),동파가능지수(18h)(단계),동파가능지수(21h)(단계),동파가능지수(24h)(단계)
2021-12-01,북강릉(104),-4.7,3.8,1.4,-1.6,31.4,3.2,6.3,주의보,주의,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,동해(106),-4.5,5,2.3,0.4,32.5,4.6,9.8,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,서울(108),-9.5,1.5,-1.3,-3,51.8,4.2,7.2,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,인천(112),-8.8,1.1,-0.7,-1.8,43.5,6.8,12.3,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,원주(114),-7.3,1.7,-0.5,-2.9,43.8,3.1,5.7,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,울릉도(115),-6.3,6.2,2.5,0.1,64.3,4.1,12.4,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,수원(119),-7.8,1.8,-0.2,-2.5,49.5,4.7,8.5,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,영월(121),-7.6,2.2,-0.7,-3.2,43.4,3.2,6.1,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,충주(127),-7.8,2,-0.6,-3.1,45.4,3.7,6.2,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,서산(129),-4.9,3.6,1.4,-1.2,54.3,4.7,8.7,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,울진(130),-8.1,5.8,1.7,-1.5,34.3,4.9,10.4,주의보,주의,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,청주(131),-4.6,3,0.9,-1.7,45.3,3,5.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,대전(133),-4.6,3.8,0.9,-2.6,59.9,2.8,5.3,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,추풍령(135),-9.5,2,-0.3,-2.7,47.9,6.5,10.3,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,안동(136),-9.1,3,-0.1,-2.9,38.6,4.8,8.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,상주(137),-6.9,3.4,0.6,-2.3,45.4,4.9,9.1,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,포항(138),-5,5.3,2.8,-0.3,34.8,4.3,7.2,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,군산(140),-3.8,4.8,2.1,-1.4,65.1,4.1,9.5,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,대구(143),-5.8,4.8,2.4,-0.5,39.6,6.3,9.8,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,전주(146),-3.1,4.6,1.8,-0.6,62.6,3,5.7,X,관심,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,울산(152),-4.6,6.2,2.8,-1.3,35.3,3.3,5.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,창원(155),-3.3,6.6,3.2,-1.1,40.1,2,4.5,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
2021-12-01,광주(156),-3.6,5,2.4,0.1,81.1,1.7,3.4,X, ,낮음,낮음,낮음,낮음,낮음,낮음,낮음,낮음
